symbol,date,volume_ratio_5d,volume_spike,volume_trend_10d,relative_volume,volume_acceleration,dark_pool_ratio,rsi_14,macd_signal,macd_histogram,bollinger_position,stochastic_k,adx_14,atr_14,ema_20_distance,sma_50_distance,williams_r,price_momentum_5d,price_momentum_10d,price_momentum_20d,price_acceleration,gap_percent,intraday_volatility,overnight_return,week_high_distance,put_call_ratio,put_call_ratio_change,unusual_options_activity,options_iv_rank,gamma_exposure,max_pain_distance,options_volume_ratio,institutional_net_flow,block_trade_volume,insider_buying_ratio,ownership_change_30d,news_sentiment_delta,social_momentum,analyst_target_distance,earnings_surprise_impact,sector_momentum_5d,spy_momentum_5d,vix_level,correlation_to_spy_20d,finbert_positive,finbert_neutral,finbert_negative,label
ADI,2023-03-15,1.089939860845899,0,138015.75757575763,1.0952933018845816,-29124.24242424229,0,45.79187028468288,-0.7322729145673303,-0.7322729145673303,0.3226438909117632,39.65009137095147,25,3.9595588802411408,-0.0018106688142721,0.0363772353084963,-60.34990862904853,-0.0195100887849996,-0.0009831798065386,0.0068004868208266,-0.0185269089784609,-0.0125951671491899,0.0280627383642308,-0.0125951671491899,0.0642976587268489,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.7,0.0234586261212825,0.9655949473381042,0.0109464041888713,UP
BMY,2024-11-15,1.2216793608870895,0,816633.3333333337,1.841712458536087,2509183.333333333,0,60.07883268819377,0.1868780489758426,0.1868780489758426,0.6327885404664514,45.63762947392879,25,1.889642611718022,0.0133399263570698,0.0704543481108516,-54.3623705260712,0.0384189447467322,0.0349779014423865,0.0563698073406582,0.0034410433043456,-0.0058119414192515,0.0436726430913214,-0.0058119414192515,0.0795677460329498,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.7,0.1751112341880798,0.0443307794630527,0.7805579304695129,UP
TMUS,2024-05-15,1.1144683769538088,0,-19012.727272727127,1.003227233969066,-150792.7272727269,0,43.197471590997026,-0.1613159577686482,-0.1613159577686482,0.3344350655867471,35.03415655991956,25,2.0181689241038794,-0.0027606006108111,0.0007898626001971,-64.96584344008045,-0.0009212909329561,-0.0168610149312213,0.0161783638916863,0.0159397239982652,0.0035096160276581,0.0093876476831833,0.0035096160276581,0.0353415656699492,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.7,0.02521238848567,0.9646489024162292,0.0101387547329068,UP
PLD,2023-12-15,1.256822928025765,0,527035.7575757575,1.9271456662929312,-603634.2424242421,0,87.72351298277046,1.7713267826597412,1.7713267826597412,1.0314636696592223,90.80196011842712,25,2.9700063266356542,0.1237171126984416,0.223432488535149,-9.198039881572884,0.127386746403264,0.1425442776806678,0.2253313307066897,-0.0151575312774037,-7.339666271353661e-05,0.0247357235856584,-7.339666271353661e-05,0.0182801996228146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.7,0.1413062810897827,0.0236627291887998,0.8350309133529663,NEUTRAL
LLY,2024-08-15,0.7353151828260932,0,-89221.21212121194,0.7615430642712676,676618.7878787883,0,69.17437831855759,15.495660560562085,15.495660560562085,0.9482110837505278,96.6675879430818,25,39.452369690570315,0.0790822979909302,0.0661516723896047,-3.3324120569181885,0.1035971681137906,0.1206594349533107,0.0989300296875408,-0.0170622668395201,0.0060404852675418,0.0191880576630943,0.0060404852675418,0.0343839148452568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.7,0.1785789430141449,0.0247383881360292,0.7966826558113098,UP
NVDA,2023-08-15,1.135454175292217,0,33190630.30303029,1.4751564831977424,-4580069.696969718,0,43.98757128523657,-0.4617796568578675,-0.4617796568578675,0.3679110793100573,51.22801274786477,25,1.6886519407251277,-0.0022112050365774,0.0175780426657756,-48.77198725213523,-0.0162101065420912,-0.0551960848850553,-0.0748306389316945,0.0389859783429641,0.01844433395753,0.0349641477537674,0.01844433395753,0.0862585878843838,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.7,0.0348284095525741,0.9504070281982422,0.0147646190598607,UP
CMCSA,2023-12-15,2.0626800881855316,1,2107584.848484847,3.0149920749216546,-7197405.15151515,0,67.80934554448827,0.2805868921315981,0.2805868921315981,1.0578580345959312,87.93529178696657,25,0.9187732941410371,0.0397471867110137,0.0449607056176094,-12.064708213033423,0.056532188630022,0.0537787775578884,0.0488093990409808,0.0027534110721336,-0.0006717609535769,0.0195023295221137,-0.0006717609535769,0.0566405653546535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.7,0.1430557817220688,0.0255908500403165,0.8313534259796143,NEUTRAL
SYK,2024-11-15,1.601649576460098,1,160054.5454545454,2.053920780404138,-239275.45454545453,0,78.07813325604637,2.3489899376352597,2.3489899376352597,0.962137964900796,93.32485190567044,25,8.727901985340651,0.0465792376628168,0.072188697756767,-6.675148094329562,0.0375571195527351,0.0624540208169166,0.0555254973116319,-0.0248969012641815,-0.0033656271060723,0.0308909097416578,-0.0033656271060723,0.0066717440925556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.7,0.217777207493782,0.0288746654987335,0.7533481121063232,NEUTRAL
COST,2023-06-15,1.2297785662658518,0,-44879.99999999994,0.872144363284754,-205429.99999999985,0,84.20805493821582,1.8261676206135853,1.8261676206135853,0.8627041590489459,95.58757086011732,25,8.775655206422234,0.0316778677625251,0.0546608925765165,-4.412429139882684,0.0174775440589169,0.0323447496875355,0.0690502135446144,-0.0148672056286185,0.0034141168878478,0.0086957214009334,0.0034141168878478,0.057696978148827,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.7,0.2707837224006653,0.3916364908218384,0.3375797867774963,NEUTRAL
V,2023-08-15,0.9167951442758968,0,-158277.57575757545,0.7231973298037636,-58607.57575757507,0,56.69031090828872,-0.017514135182288,-0.017514135182288,0.6249426609661938,63.945718588811424,25,3.436765239569695,0.003782950928598,0.0224678530212631,-36.054281411188576,0.0041413280391147,0.0020893397212806,-0.0020310628825239,0.002051988317834,-0.0036640366762313,0.0137184089119753,-0.0036640366762313,0.0207401310207317,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.7,0.3582304716110229,0.3189392685890198,0.3228302299976349,NEUTRAL
